id,f0,f1,f2,product
fwXo0,-1.1469870984179529,0.9633279217162892,-0.8289649221710994,27.758673230730036
WJtFt,0.2627779016539684,0.2698389572803021,-2.530186515492004,56.06969663239464
ovLUW,0.19458728165865746,0.2890350017576741,-5.586432770903118,62.87191004763475
q6cA6,2.2360596126935817,-0.5537598999099264,0.930037615920042,114.57284166750858
WPMUX,-0.5159928644136754,1.7162655596688288,5.899011469346728,149.60074591275887
LzZXx,-0.7580918899979295,0.7106911177603382,2.5858867141816897,90.22246490212144
WBHRv,-0.5748912438077884,0.3177265635483666,1.7737447474350394,45.64147802212778
XO8fn,-1.9066490402342755,-2.458350352494145,-0.17709734827158696,72.48063984159316
ybmQ5,1.7762915116273206,-0.2793559343775369,3.0041564713796984,106.61683168368128
OilcN,-1.2144524766503704,-0.4393143656335734,5.922514025411184,52.954531972842304
myq2g,0.6286591414874068,-2.1200490106171657,5.362437458165776,166.79913238898922
V9R1y,-0.5445652679463143,0.039087922394037584,8.63529286152773,150.85943483451126
bKDo0,-0.9604534557628164,-0.12711324307574018,7.76473352630621,96.9108546457768
eXvhs,1.4328911748209971,-1.2420737448194823,3.5571684492319817,8.704161654790706
wI4j3,-0.9354642338329382,2.4205225952306773,1.1505363153601516,116.82981058167485
XOWTx,-2.6283531597390057,0.9373027740215202,0.057846873560780415,68.6554975395606
2oVFv,-0.4280495130515235,-2.246556419261869,6.970419629607002,84.50046430671962
0wbDA,0.7353066708837137,0.9131242424781892,7.8995393559056994,96.28470146389795
NhHaR,0.7062610751752331,-0.9935532231643353,3.155581606069574,48.05226804468843
DMNMZ,-1.8678460055072477,2.744143987109394,5.918278134585086,153.81513738447882
3mCRf,-1.2507042363201122,0.540611102478362,3.438567146681456,65.77496314687986
fRllb,-0.30756436944208065,-0.9427929315557226,1.5715085274156158,113.08058385243748
6GvzI,-1.2213035600146396,1.2626424753309782,5.198434570377139,105.20708825703015
JwbXn,0.4266042597136874,1.1428235805596465,6.360318301048201,108.37598378073761
urwUC,2.3784181026257936,0.6653862691901017,1.282287033641937,56.47824129691548
KMQl3,0.38428709017412654,-2.4162389816482928,-1.1110758916841323,95.46689647043499
Coy8M,0.9275110355292938,0.7691196046247887,3.5124917955983226,94.25184254809587
EXElh,-0.3872108281378982,0.16079452454654852,4.097399790607929,77.40428659595531
uaZJK,0.5137821252423457,1.1023722720418223,-0.3052528702543376,25.6263116772065
6UkRY,1.0438788996128932,-0.5706418990087394,0.7519921237892992,103.26347483852504
PMtzo,1.7494189164863656,2.9748195643819284,1.6639917863656652,145.7302711422053
y3a1h,-1.7647155737471067,1.1756639322583249,2.8983736718003192,118.13013600272204
